agent_id,agent_name,total_requests,total_success,total_failures,unknown_status,success_rate,failure_rate,unknown_rate
598bc7ca-c2b8-45c8-a34a-a978c3c71815,Your Roomate Maru,5,5,0,0,100.0,0.0,0.0
c3084329-1f6e-4fed-b33a-fc9d1cfa3ed2,Lily D'Souza,5,5,0,0,100.0,0.0,0.0
c315dbad-ade6-4efb-bd66-f7bdd1af0eb8,baby ,5,5,0,0,100.0,0.0,0.0
530c59b4-d33f-4d08-b6d2-38b2d26d9992,Emi,5,0,5,0,0.0,100.0,0.0
499d8803-b6d5-4cd5-9117-21fa84e8d617,baby ,5,5,0,0,100.0,0.0,0.0
44eebe1d-fcb8-4311-8e98-11b8a69737d1,Gabriella,5,0,5,0,0.0,100.0,0.0
cd7db215-9d63-494f-806f-1487a57ea568,Luna,5,5,0,0,100.0,0.0,0.0
42e27a78-f381-43e0-bc63-97a0f38e3d10,Rina Miyazaki,5,2,3,0,40.0,60.0,0.0
03904725-5a2b-4d72-b217-c435eff18795,Makenna,5,3,2,0,60.0,40.0,0.0
30ff5657-1000-4ba9-a317-4521fefb3ae1,baby ,5,5,0,0,100.0,0.0,0.0
ee38c5e5-ef42-4705-b16d-c235c78860b5,Brynn,5,5,0,0,100.0,0.0,0.0
2435c5a7-2e04-417d-a1ae-838614b461f3,Ailani,5,2,3,0,40.0,60.0,0.0
1f031a27-2761-444a-a53d-3fb2e8cc19ad,baby ,5,5,0,0,100.0,0.0,0.0
01ec85c4-05c4-4f60-9abc-323a9ee73fba,Kiera,5,2,3,0,40.0,60.0,0.0
e6ef7fc2-ab1f-4cdb-a226-88d90c92be0b,Emerson,5,5,0,0,100.0,0.0,0.0
90741936-3353-4d69-9c43-4966721d21b8,Mabel,5,5,0,0,100.0,0.0,0.0
1d943388-c69d-4b90-8824-cc3ef25f2d99,Yasmin El-Sayed,5,1,4,0,20.0,80.0,0.0
9b588670-d620-48c1-9af6-107897588d46,Her,5,0,5,0,0.0,100.0,0.0
0f275940-36cf-4276-9e46-fc59c67a4e3d,baby ,5,5,0,0,100.0,0.0,0.0
81c0b084-b3fc-41d7-b8a1-e414bb2906bb,Ate Ko,5,5,0,0,100.0,0.0,0.0
